"number","date","event","location","oath","length"
"1st","April 30, 1789(Thursday)","First inauguration of George Washington","Front balcony,Federal HallNew York, New York","Robert Livingston,Chancellor of New York","1431 wordsFull text"
"2nd","March 4, 1793(Monday)","Second inauguration of George Washington","Senate Chamber,Congress HallPhiladelphia, Pennsylvania","William Cushing,Associate Justice, U.S. Supreme Court","135 wordsFull text"
"3rd","March 4, 1797(Saturday)","Inauguration of John Adams","House Chamber,Congress Hall","Oliver Ellsworth,Chief Justice of the United States","2308 wordsFull text"
"4th","March 4, 1801(Wednesday)","First inauguration of Thomas Jefferson","Senate Chamber,U.S. CapitolWashington, D.C.","John Marshall,Chief Justice of the United States","1730 wordsFull text"
"5th","March 4, 1805(Monday)","Second inauguration of Thomas Jefferson","Senate Chamber,U.S. Capitol","John Marshall,Chief Justice","2166 wordsFull text"
"6th","March 4, 1809(Saturday)","First inauguration of James Madison","House Chamber,U.S. Capitol","John Marshall,Chief Justice","1177 wordsFull text"
"7th","March 4, 1813(Thursday)","Second inauguration of James Madison","House Chamber,U.S. Capitol","John Marshall,Chief Justice","1211 wordsFull text"
"8th","March 4, 1817(Tuesday)","First inauguration of James Monroe","Front steps,Old Brick Capitol","John Marshall,Chief Justice","3375 wordsFull text"
"9th","March 5, 1821[b](Monday)","Second inauguration of James Monroe","House Chamber,U.S. Capitol","John Marshall,Chief Justice","4472 wordsFull text"
"10th","March 4, 1825(Friday)","Inauguration of John Quincy Adams","House Chamber,U.S. Capitol","John Marshall,Chief Justice","2915 wordsFull text"
"11th","March 4, 1829(Wednesday)","First inauguration of Andrew Jackson","East Portico,U.S. Capitol","John Marshall,Chief Justice","1128 wordsFull text"
"12th","March 4, 1833(Monday)","Second inauguration of Andrew Jackson","House Chamber,U.S. Capitol","John Marshall,Chief Justice","1176 wordsFull text"
"13th","March 4, 1837(Saturday)","Inauguration of Martin Van Buren","East Portico,U.S. Capitol","Roger B. Taney,Chief Justice of the United States","3843 wordsFull text"
"14th","March 4, 1841(Thursday)","Inauguration of William Henry Harrison","East Portico,U.S. Capitol","Roger B. Taney,Chief Justice","8640 wordsFull text"
"—","April 6, 1841[c](Tuesday)","Inauguration of John Tyler(Extraordinary inauguration)","Brown’s Indian Queen Hotel,Washington, D.C.","William CranchChief Judge, U.S. Circuit Court of the District of Columbia","—"
"15th","March 4, 1845(Tuesday)","Inauguration of James K. Polk","East Portico,U.S. Capitol","Roger B. Taney,Chief Justice","4809 wordsFull text"
"16th","March 5, 1849[b](Monday)","Inauguration of Zachary Taylor","East Portico,U.S. Capitol","Roger B. Taney,Chief Justice","1090 wordsFull text"
"—","July 10, 1850[d](Wednesday)","Inauguration of Millard Fillmore(Extraordinary inauguration)","House Chamber,U.S. Capitol","William CranchCircuit Court Judge","—"
"17th","March 4, 1853(Friday)","Inauguration of Franklin Pierce","East Portico,U.S. Capitol","Roger B. Taney,Chief Justice","3336 wordsFull text"
"18th","March 4, 1857(Wednesday)","Inauguration of James Buchanan","East Portico,U.S. Capitol","Roger B. Taney,Chief Justice","2831 wordsFull text"
